,type,id,lat,lon,tags_addr:city,tags_shop,tags_name,geometry,index_right,ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AREA,SHAPE_LEN
465,node,4998806126,40.7337929,-73.9908003,,clothes,Zumiez,POINT (-73.9908003 40.7337929),90,10003,0,New York,55878.0,15538376.2696663,NY,New York,36,061,http://www.usps.com/,0.0,0.0
466,node,4998806131,40.7349875,-73.9916761,,clothes,Bottom's,POINT (-73.99167610000001 40.7349875),90,10003,0,New York,55878.0,15538376.2696663,NY,New York,36,061,http://www.usps.com/,0.0,0.0
473,node,5083429925,40.7238957,-73.9903347,,clothes,Otherwild,POINT (-73.99033470000001 40.7238957),90,10003,0,New York,55878.0,15538376.2696663,NY,New York,36,061,http://www.usps.com/,0.0,0.0
478,node,5108265921,40.7373803,-73.9899304,,clothes,Scotch & Soda,POINT (-73.98993040000001 40.7373803),90,10003,0,New York,55878.0,15538376.2696663,NY,New York,36,061,http://www.usps.com/,0.0,0.0
556,node,5432070021,40.7283343,-73.9935021,,clothes,New Era Flagship Store,POINT (-73.9935021 40.7283343),90,10003,0,New York,55878.0,15538376.2696663,NY,New York,36,061,http://www.usps.com/,0.0,0.0
672,node,5712388433,40.737526,-73.9922433,,clothes,Aritzia,POINT (-73.9922433 40.737526),90,10003,0,New York,55878.0,15538376.2696663,NY,New York,36,061,http://www.usps.com/,0.0,0.0
683,node,5743674802,40.7303007,-73.9924155,,clothes,GAP,POINT (-73.99241550000001 40.7303007),90,10003,0,New York,55878.0,15538376.2696663,NY,New York,36,061,http://www.usps.com/,0.0,0.0
690,node,5759167122,40.7374839,-73.9922922,,clothes,Aritzia,POINT (-73.99229219999999 40.7374839),90,10003,0,New York,55878.0,15538376.2696663,NY,New York,36,061,http://www.usps.com/,0.0,0.0
695,node,5764228742,40.7295992,-73.9848031,,clothes,Buffalo Exchange,POINT (-73.98480309999999 40.7295992),90,10003,0,New York,55878.0,15538376.2696663,NY,New York,36,061,http://www.usps.com/,0.0,0.0
699,node,5774334190,40.7388991,-73.9912584,,clothes,Madewell,POINT (-73.99125840000001 40.7388991),90,10003,0,New York,55878.0,15538376.2696663,NY,New York,36,061,http://www.usps.com/,0.0,0.0
769,node,5919252677,40.7272729,-73.9861016,,clothes,Tokio 7,POINT (-73.9861016 40.7272729),90,10003,0,New York,55878.0,15538376.2696663,NY,New York,36,061,http://www.usps.com/,0.0,0.0
807,node,6052945988,40.7278854,-73.9902848,,clothes,Nomad Vintage,POINT (-73.9902848 40.7278854),90,10003,0,New York,55878.0,15538376.2696663,NY,New York,36,061,http://www.usps.com/,0.0,0.0
813,node,6053087885,40.7294989,-73.9847091,,clothes,Ladies and Gentlemen,POINT (-73.9847091 40.7294989),90,10003,0,New York,55878.0,15538376.2696663,NY,New York,36,061,http://www.usps.com/,0.0,0.0
814,node,6053103886,40.7270306,-73.9862787,,clothes,AuH2O Thriftique,POINT (-73.9862787 40.7270306),90,10003,0,New York,55878.0,15538376.2696663,NY,New York,36,061,http://www.usps.com/,0.0,0.0
852,way,377371386,40.7343423,-73.9902122,New York,clothes,Nordstrom Rack,POINT (-73.9902122 40.7343423),90,10003,0,New York,55878.0,15538376.2696663,NY,New York,36,061,http://www.usps.com/,0.0,0.0
11,node,886706963,40.7271383,-73.9956087,,clothes,Blades,POINT (-73.99560870000001 40.7271383),95,10012,0,New York,24276.0,9193738.99955164,NY,New York,36,061,http://www.usps.com/,0.0,0.0
12,node,886727545,40.7270937,-73.9956618,,clothes,Roni,POINT (-73.99566179999999 40.7270937),95,10012,0,New York,24276.0,9193738.99955164,NY,New York,36,061,http://www.usps.com/,0.0,0.0
15,node,1001284305,40.7223219,-73.9996236,,clothes,Zara,POINT (-73.99962360000001 40.7223219),95,10012,0,New York,24276.0,9193738.99955164,NY,New York,36,061,http://www.usps.com/,0.0,0.0
